index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
56,70,57,57.623168977593515
57,70,58,58.953076717451474
58,70,59,59.853231224097804
59,70,60,60.60297648437815
0,80,1,1.083193
1,80,2,1.4492865531490053
2,80,3,2.179174363667311
3,80,4,2.9895917791491335
4,80,5,3.6826744268423495
5,80,6,5.144579385660822
6,80,7,6.453357418576479
7,80,8,7.775973105139838
8,80,9,9.044516155839165
9,80,10,9.464523238240517
10,80,11,11.686098789078825
11,80,12,13.56184911236836
12,80,13,14.134199376951667
13,80,14,15.174117919462002
14,80,15,16.132870379955538
15,80,16,17.090101494686262
16,80,17,18.070985425084675
17,80,18,19.194833901482614
18,80,19,19.931353792333493
19,80,20,21.014206446859646
20,80,21,22.923487240901405
21,80,22,24.52691253322219
22,80,23,25.58349810158231
23,80,24,27.363155812833543
24,80,25,28.85774854647559
25,80,26,30.005257707954502
26,80,27,31.220793007066355
27,80,28,33.94349684421485
28,80,29,35.27570626181002
29,80,30,36.84951051085556
30,80,31,31.8573422651882
31,80,32,31.269596506523715
32,80,33,32.23936605487097
33,80,34,34.35477137679517
34,80,35,35.10841795821982
35,80,36,35.273773734484415
36,80,37,38.49151834759181
37,80,38,39.6149815754924
38,80,39,41.283656615586764
39,80,40,41.243539943271834
40,80,41,40.8379000051017
41,80,42,42.58919085115782
42,80,43,44.24719200115892
43,80,44,44.146434729757814
44,80,45,44.352791062895044
45,80,46,46.96133577019362
46,80,47,48.5780284142758
47,80,48,48.47397062087515
48,80,49,49.19576786143502
49,80,50,49.912979740510494
50,80,51,52.04464864555325
51,80,52,51.762716415357
52,80,53,53.07872099366442
53,80,54,55.43810721124868
54,80,55,54.68162303235861
55,80,56,55.559594218398956
56,80,57,57.011206742588115
57,80,58,58.4741943076903
58,80,59,59.26476954620391
59,80,60,61.08534079314914
0,90,1,0.9679578010000001
1,90,2,2.1509509967158964
2,90,3,2.9328595831684114
3,90,4,4.011886947743752
4,90,5,4.9677587801723755
5,90,6,5.934656283380113
6,90,7,6.943145884357721
7,90,8,7.8680858265727265
8,90,9,8.899110519841448
9,90,10,10.217989944907071
10,90,11,11.11533756936671
11,90,12,12.761331310992588
12,90,13,13.14340835617441
13,90,14,13.682530511051903
14,90,15,15.422321564535945
15,90,16,16.752977750700033
16,90,17,17.036598758242043
17,90,18,18.17057424446475
18,90,19,19.191491763577815
19,90,20,20.221402944909805
20,90,21,21.63875643564927
21,90,22,22.454987625211032
22,90,23,23.213074134562333
23,90,24,24.272968377581588
24,90,25,25.441211469192645
25,90,26,26.335215145062183
26,90,27,26.926384857196997
27,90,28,28.19906007355065
28,90,29,29.163056848744212
29,90,30,29.871896780735018
30,90,31,31.087617669254037
31,90,32,31.769392743033926
32,90,33,33.64339064881673
33,90,34,34.168710665842866
34,90,35,37.07313400963429
35,90,36,37.20778744654818
36,90,37,37.47477873499027
37,90,38,38.56762743897862
38,90,39,38.58149855999646
39,90,40,40.6756273868928
40,90,41,42.42833648364437
41,90,42,43.68434849311732
42,90,43,45.4794925147096
43,90,44,46.65617498880861
44,90,45,46.425988768685116
45,90,46,46.61900318906054
46,90,47,49.07514044379616
47,90,48,49.22317400016712
48,90,49,50.61336889114675
49,90,50,51.74131353563554
50,90,51,54.04459948617656
51,90,52,53.91091818707629
52,90,53,56.08974684350129
53,90,54,57.587724483126486
54,90,55,57.567822188121454
55,90,56,58.276984286697726
56,90,57,59.98547978721539
57,90,58,63.194278770677805
58,90,59,64.14448115198225
59,90,60,65.78316129803818
0,100,1,1.4281421517
1,100,2,1.0143820702808852
2,100,3,1.7527351734883727
3,100,4,2.476416411356218
4,100,5,3.5007137121225527
5,100,6,4.461598333220953
6,100,7,5.708166017301457
7,100,8,6.477096137417055
8,100,9,7.118311916591381
9,100,10,8.21948433042988
10,100,11,8.837099914058976
11,100,12,9.884938155686168
12,100,13,10.548243441177704
13,100,14,11.562744292055926
14,100,15,12.51329022378218
15,100,16,13.118147715267213
16,100,17,14.183761071658887
17,100,18,15.330656888807335
18,100,19,16.18612437956994
19,100,20,17.294939780386393
20,100,21,17.857308002850463
21,100,22,18.57458094027748
22,100,23,19.27893250019755
23,100,24,20.12218971549475
24,100,25,21.489652660880957
25,100,26,22.38154627611058
26,100,27,23.28933755929493
27,100,28,24.435675112780682
28,100,29,25.22362103197658
29,100,30,26.41907225551892
30,100,31,26.65391239973267
31,100,32,28.045721005453863
32,100,33,30.423688675560005
33,100,34,31.08056733561272
34,100,35,31.977650025588844
35,100,36,32.4448020921213
36,100,37,32.61511009852276
37,100,38,33.09992242938425
38,100,39,34.044431617142095
39,100,40,33.33897333037156
40,100,41,35.7028702835301
41,100,42,36.71089385041548
42,100,43,37.60464624307086
43,100,44,37.92017561142683
44,100,45,38.94950585479615
45,100,46,39.812752868296045
46,100,47,40.04446144441473
47,100,48,41.976986892458186
48,100,49,43.765397092541676
49,100,50,43.45970878074995
50,100,51,44.44130549784098
51,100,52,43.77384568531876
52,100,53,44.14021201357479
53,100,54,44.608550080804726
54,100,55,45.45102088750042
55,100,56,46.62734502354008
56,100,57,47.33224877113334
57,100,58,48.630226608685575
58,100,59,50.29322349084148
59,100,60,50.200082017108805
