index,Volume Tandon (L),Waktu (s),Delta TDS (ppm)
56,60,57,274.1331261563405
57,60,58,278.856800022326
58,60,59,282.2676733422249
59,60,60,287.0901335878795
0,70,1,4.136906422499999
1,70,2,5.128986218628538
2,70,3,7.874101785252466
3,70,4,10.523379731774051
4,70,5,13.25749704504544
5,70,6,15.719171713141595
6,70,7,18.78128724851434
7,70,8,21.338909424276455
8,70,9,23.996610800211087
9,70,10,26.585299747684566
10,70,11,28.60343404556668
11,70,12,31.38740823501765
12,70,13,33.25292282874512
13,70,14,36.68606944779275
14,70,15,38.939616522509645
15,70,16,43.17379011260603
16,70,17,48.2450441526032
17,70,18,51.084980294232246
18,70,19,55.65764065998733
19,70,20,60.16587419150824
20,70,21,63.136475630244874
21,70,22,66.53370052539357
22,70,23,68.00361363182019
23,70,24,71.46390954525481
24,70,25,75.82151361536091
25,70,26,79.13000366037559
26,70,27,81.99560088828353
27,70,28,84.27601674775224
28,70,29,87.79113173248493
29,70,30,91.45451620753254
30,70,31,95.07008070342971
31,70,32,99.41020078809511
32,70,33,102.47532528599568
33,70,34,106.86073736504174
34,70,35,110.64366024408135
35,70,36,113.75176309032182
36,70,37,116.96904429552276
37,70,38,119.27163318785696
38,70,39,123.18836077546761
39,70,40,126.49387193439517
40,70,41,130.08761040576422
41,70,42,133.4206041456583
42,70,43,137.7200585161475
43,70,44,140.60146472676433
44,70,45,143.62405511757575
45,70,46,148.52947324585267
46,70,47,152.75534339956607
47,70,48,155.79619271131727
48,70,49,158.80822957756808
49,70,50,161.9814738022872
50,70,51,165.2971376694788
51,70,52,168.23637202925732
52,70,53,170.59345329565207
53,70,54,173.20240973200586
54,70,55,175.0622181377948
55,70,56,179.30541842623654
56,70,57,183.46303739247
57,70,58,186.2399284922034
58,70,59,190.5533207079477
59,70,60,192.9586440910554
0,80,1,3.1477627830999992
1,80,2,5.16945636241491
2,80,3,7.829615372216777
3,80,4,10.653014083754115
4,80,5,13.057310351580895
5,80,6,16.219985034443305
6,80,7,18.375228754138064
7,80,8,20.945121132225708
8,80,9,23.20812244365606
9,80,10,26.52926747683942
10,80,11,28.615665846150772
11,80,12,30.61167645626922
12,80,13,35.17642777044921
13,80,14,37.08982655202881
14,80,15,38.48773334757511
15,80,16,41.61824868422018
16,80,17,44.70756309722189
17,80,18,46.23169028332709
18,80,19,48.03479644502736
19,80,20,50.76668850052734
20,80,21,52.64876658275919
21,80,22,55.179756088750764
22,80,23,57.20180591438291
23,80,24,59.64260493117149
24,80,25,62.349918822424115
25,80,26,66.0996000426094
26,80,27,69.03915655970364
27,80,28,72.05371531540521
28,80,29,75.21221547519941
29,80,30,79.37719755199984
30,80,31,82.1763529197523
31,80,32,84.45869257181188
32,80,33,86.54606171731368
33,80,34,88.58793728621673
34,80,35,90.93396181272203
35,80,36,94.0414070772005
36,80,37,97.35665136256424
37,80,38,100.49317592613463
38,80,39,102.52700848527357
39,80,40,105.98956655681027
40,80,41,109.14121913356368
41,80,42,112.97397134640168
42,80,43,114.17324351980935
43,80,44,116.52651287254955
44,80,45,120.0034295604075
45,80,46,121.19173524215299
46,80,47,123.6995446340969
47,80,48,125.5199160930003
48,80,49,127.7307427959629
49,80,50,130.95108619546443
50,80,51,133.3389952797884
51,80,52,136.80008672145678
52,80,53,141.3844345758165
53,80,54,145.94502411877278
54,80,55,148.72527154069613
55,80,56,152.08626546165505
56,80,57,154.82811532125612
57,80,58,156.98584697856722
58,80,59,159.63052313089466
59,80,60,160.57743386908993
0,90,1,1.8807529689999996
1,90,2,4.791032112892576
2,90,3,7.159280359395632
3,90,4,9.328419709868108
4,90,5,11.783424792772148
5,90,6,14.344922302191105
6,90,7,17.050244157569704
7,90,8,19.55812992017203
8,90,9,20.66626991841749
9,90,10,23.939410242130617
10,90,11,24.956631568125896
11,90,12,27.659453165030754
12,90,13,30.60917103457958
13,90,14,31.50785977640764
14,90,15,33.681248354189776
15,90,16,35.97876137101805
16,90,17,38.924205873038986
